,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,mae hong son,81,MM,1559606773,95,19.3,97.96,71.0,1.41
1,albany,1,US,1559606705,53,42.65,-73.75,57.99,4.7
2,nome,1,US,1559606774,49,30.04,-94.42,91.4,4.7
3,punta arenas,0,CL,1559606774,85,-53.16,-70.91,35.01,3.36
4,birakan,11,RU,1559606774,54,49.02,131.7,69.2,1.81
5,victoria,75,BN,1559606774,94,5.28,115.24,78.8,2.24
6,hithadhoo,100,MV,1559606774,76,-0.6,73.08,83.42,18.52
7,upernavik,100,GL,1559606775,72,72.79,-56.15,36.98,2.51
8,puerto ayora,75,EC,1559606775,74,-0.74,-90.35,78.8,14.99
9,caravelas,1,BR,1559606775,77,-17.73,-39.27,75.68,5.44
10,pevek,100,RU,1559606775,94,69.7,170.27,33.2,5.08
11,butaritari,40,KI,1559606775,78,3.07,172.79,84.68,13.18
12,tuktoyaktuk,75,CA,1559606775,70,69.44,-133.03,42.8,13.87
13,green river,40,US,1559606775,31,41.53,-109.47,64.4,10.29
14,pangnirtung,71,CA,1559606775,42,66.15,-65.72,48.5,4.97
15,avarua,83,CK,1559606776,88,-21.21,-159.78,75.2,8.05
16,stokmarknes,95,NO,1559606776,76,68.56,14.91,50.0,10.49
17,hilo,40,US,1559606776,58,19.71,-155.08,82.4,6.93
18,new norfolk,75,AU,1559606776,70,-42.78,147.06,48.0,9.17
19,mahebourg,40,MU,1559606776,69,-20.41,57.7,73.4,18.34
20,nizhniy baskunchak,100,RU,1559606776,63,48.22,46.83,77.3,10.02
21,kapaa,40,US,1559606691,61,22.08,-159.32,84.2,14.99
22,kodiak,1,US,1559606777,54,39.95,-94.76,81.0,10.29
23,balakhninskiy,90,RU,1559606777,63,58.01,114.28,50.3,4.79
24,lorengau,100,PG,1559606777,79,-2.02,147.27,82.52,7.99
25,cape town,75,ZA,1559606777,93,-33.93,18.42,61.0,6.93
26,rikitea,32,PF,1559606777,79,-23.12,-134.97,74.96,19.46
27,chuy,1,UY,1559606777,68,-33.69,-53.46,60.02,11.5
28,airai,81,TL,1559606777,67,-8.93,125.41,78.38,9.57
29,dongkan,79,CN,1559606778,52,34.0,119.83,80.54,8.5
30,vaini,97,IN,1559606778,87,15.34,74.49,78.38,2.82
31,imbituba,75,BR,1559606608,88,-28.24,-48.67,62.6,5.82
32,kutum,99,SD,1559606778,30,14.2,24.66,86.3,8.21
33,jamestown,11,AU,1559606776,70,-33.21,138.6,49.4,8.81
34,lompoc,90,US,1559606778,82,34.64,-120.46,78.01,9.17
35,severo-kurilsk,100,RU,1559606778,95,50.68,156.12,44.72,10.56
36,sept-iles,90,CA,1559606550,93,50.2,-66.38,46.0,9.17
37,tautira,20,PF,1559606778,66,-17.73,-149.15,84.2,4.7
38,methoni,20,GR,1559606778,87,36.82,21.7,62.01,7.56
39,taoudenni,99,ML,1559606779,8,22.68,-3.98,92.96,10.78
40,san borja,1,BO,1559606779,83,-14.86,-66.75,69.02,0.78
41,ovalle,36,CL,1559606779,51,-30.6,-71.2,61.28,6.96
42,mandalgovi,0,MN,1559606511,51,45.76,106.27,45.8,15.17
43,maniitsoq,0,GL,1559606779,60,65.42,-52.9,41.12,9.75
44,port alfred,35,ZA,1559606779,65,-33.59,26.89,64.99,6.67
45,kamenka,1,RU,1559606779,77,53.19,44.05,48.5,6.69
46,tura,0,IN,1559606780,79,25.52,90.21,75.5,5.39
47,koungheul,62,SN,1559606780,36,13.98,-14.8,86.66,14.09
48,seguela,100,CI,1559606780,96,7.96,-6.67,72.8,4.36
49,nikolskoye,0,RU,1559606780,66,59.7,30.79,53.6,4.47
50,hermanus,55,ZA,1559606780,84,-34.42,19.24,59.0,5.01
51,honiton,20,GB,1559606780,93,50.8,-3.19,55.99,3.36
52,bethel,40,US,1559606781,62,60.79,-161.76,57.2,12.75
53,hobart,75,AU,1559606781,70,-42.88,147.33,48.0,9.17
54,mount gambier,75,AU,1559606781,81,-37.83,140.78,48.2,12.75
55,sola,90,FI,1559606782,76,62.78,29.36,50.0,8.05
56,gbarnga,100,LR,1559606782,98,7.0,-9.47,72.26,3.02
57,jumla,0,NP,1559606782,63,29.28,82.18,46.16,3.85
58,kulhudhuffushi,100,MV,1559606782,75,6.62,73.07,84.32,9.42
59,lebu,43,ET,1559606783,75,8.96,38.73,56.42,2.19
60,katsuura,75,JP,1559606783,88,33.93,134.5,71.6,4.7
61,mataura,86,NZ,1559606783,83,-46.19,168.86,41.0,7.14
62,sinjai,86,ID,1559606574,79,-5.12,120.25,75.32,5.73
63,dikson,17,RU,1559606783,90,73.51,80.55,29.96,13.58
64,ushuaia,20,AR,1559606730,70,-54.81,-68.31,42.8,4.7
65,atuona,2,PF,1559606784,74,-9.8,-139.03,82.7,16.02
66,pisco,90,PE,1559606784,30,-13.71,-76.2,71.6,4.7
67,malanje,0,AO,1559606784,40,-9.54,16.35,61.82,5.21
68,ribeira grande,51,PT,1559606785,81,38.52,-28.7,62.9,20.15
69,carnarvon,0,ZA,1559606785,35,-30.97,22.13,55.7,6.87
70,vardo,1,US,1559606530,30,39.62,-77.74,69.8,9.17
71,sitka,1,US,1559606785,57,37.17,-99.65,84.0,11.01
72,castro,90,CL,1559606786,100,-42.48,-73.76,53.6,14.99
73,laurel,75,US,1559606786,41,45.67,-108.77,80.01,11.41
74,palu,100,ID,1559606786,71,-0.9,119.87,80.54,3.71
75,barrow,44,AR,1559606786,52,-38.31,-60.23,51.38,8.3
76,luganville,90,VU,1559606787,74,-15.51,167.18,80.6,5.82
77,hasaki,75,JP,1559606787,69,35.73,140.83,75.0,4.7
78,khatanga,0,RU,1559606618,76,71.98,102.47,47.78,3.85
79,mar del plata,99,AR,1559606787,62,-46.43,-67.52,51.56,18.39
80,tasiilaq,0,GL,1559606787,69,65.61,-37.64,32.0,2.24
81,ponta do sol,68,BR,1559606787,93,-20.63,-46.0,60.92,1.36
82,elda,0,ES,1559606787,88,38.48,-0.8,68.0,2.59
83,hay river,75,CA,1559606787,66,60.82,-115.79,48.2,5.82
84,lar,82,IR,1559606788,37,27.66,54.32,84.86,2.75
85,inuvik,90,CA,1559606788,61,68.36,-133.71,50.0,5.82
86,puerto madryn,99,AR,1559606551,42,-42.77,-65.04,55.52,9.51
87,kango,91,GA,1559606788,96,0.19,10.1,73.52,2.13
88,zholymbet,10,KZ,1559606633,62,51.74,71.71,54.98,5.01
89,dicabisagan,18,PH,1559606788,69,17.08,122.42,85.58,2.59
90,bowen,100,AU,1559606788,67,-20.01,148.25,66.0,9.17
91,tiksi,19,RU,1559606788,83,71.64,128.87,33.56,13.94
92,cayenne,90,GF,1559606788,100,4.94,-52.33,75.2,4.52
93,leh,97,IN,1559606789,66,34.16,77.58,30.86,4.45
94,bluff,0,AU,1559606789,30,-23.58,149.07,58.4,16.53
95,bredasdorp,84,ZA,1559606789,76,-34.53,20.04,55.4,3.36
96,gornyy,0,RU,1559606789,66,51.76,48.54,57.68,13.4
97,lazaro cardenas,75,MX,1559606789,77,28.39,-105.62,66.2,5.82
98,faanui,13,PF,1559606789,70,-16.48,-151.75,81.8,9.71
99,sinnamary,100,GF,1559606789,82,5.38,-52.96,81.08,10.36
100,vila velha,0,BR,1559606733,74,-3.71,-38.6,82.4,6.93
101,babstovo,1,RU,1559606790,64,48.12,132.48,66.32,2.71
102,darhan,0,MN,1559606790,54,49.49,105.92,45.62,4.88
103,nizwa,0,OM,1559606505,44,22.93,57.53,80.72,2.84
104,broken hill,0,AU,1559606790,80,-31.97,141.45,41.0,14.99
105,nantucket,1,US,1559606790,31,41.28,-70.1,66.2,12.75
106,saint-leu,20,RE,1559606790,73,-21.15,55.28,72.0,20.8
107,cabedelo,20,BR,1559606790,83,-6.97,-34.84,78.8,6.93
108,zhigansk,100,RU,1559606791,50,66.77,123.37,63.62,4.65
109,port-gentil,20,GA,1559606791,94,-0.72,8.78,75.2,5.82
110,alice springs,40,AU,1559606791,66,-23.7,133.88,48.2,9.17
111,saint-pierre,0,FR,1559606791,87,48.95,4.24,57.2,4.7
112,nanortalik,0,GL,1559606791,83,60.14,-45.24,36.8,4.76
113,oktyabrskiy,0,RU,1559606792,66,55.61,37.97,57.99,4.47
114,san patricio,1,PY,1559606792,97,-26.98,-56.83,56.96,4.47
115,inongo,100,CD,1559606792,83,-1.93,18.29,74.42,2.13
116,finnsnes,66,NO,1559606792,61,69.23,17.98,51.01,13.87
117,kavieng,100,PG,1559606792,77,-2.57,150.8,84.14,11.01
118,marsh harbour,70,BS,1559606792,80,26.54,-77.06,81.26,6.17
119,yulara,0,AU,1559606793,70,-25.24,130.99,44.6,10.29
120,qaanaaq,100,GL,1559606793,89,77.48,-69.36,25.64,2.3
121,beidao,99,CN,1559606793,69,34.57,105.89,61.64,3.42
122,oranjestad,20,AW,1559606793,74,12.52,-70.03,84.2,24.16
123,san jose,31,PH,1559606794,57,15.79,120.99,87.92,8.52
124,hovd,0,NO,1559606794,81,63.83,10.7,54.0,3.36
125,east london,46,ZA,1559606794,33,-33.02,27.91,61.28,5.44
126,arraial do cabo,59,BR,1559606794,78,-22.97,-42.02,73.34,11.81
127,hamilton,40,CA,1559606563,44,43.26,-79.87,60.01,12.75
128,vestmannaeyjar,2,IS,1559606795,56,63.44,-20.27,46.16,22.37
129,tilichiki,100,RU,1559606795,78,60.47,166.1,47.42,4.97
130,wapi pathum,100,TH,1559606795,94,15.84,103.38,80.6,5.82
131,carmen,100,PH,1559606795,60,7.2,124.8,85.76,1.5
132,liptovsky hradok,0,SK,1559606795,87,49.04,19.72,59.0,4.7
133,bubaque,53,GW,1559606796,80,11.28,-15.83,78.92,16.02
134,maumere,99,ID,1559606796,75,-8.63,122.22,79.64,5.28
135,kawambwa,0,ZM,1559606796,78,-9.8,29.07,54.08,6.02
136,haines junction,53,CA,1559606796,25,60.75,-137.51,56.06,5.55
137,kolondieba,100,ML,1559606796,81,11.09,-6.89,78.92,7.43
138,matara,58,PE,1559606796,81,-13.74,-72.9,36.62,4.83
139,virginia beach,1,US,1559606514,49,36.85,-75.98,75.2,5.82
140,norman wells,90,CA,1559606768,81,65.28,-126.83,44.6,3.36
141,stettler,1,CA,1559606797,64,52.32,-112.71,63.0,14.0
142,talnakh,0,RU,1559606797,83,69.49,88.39,32.0,2.24
143,port lincoln,100,AU,1559606797,65,-34.72,135.86,56.6,15.93
144,los llanos de aridane,0,ES,1559606797,73,28.66,-17.92,73.99,10.29
145,bam,97,IR,1559606797,29,29.11,58.36,65.78,6.15
146,ilo,2,PE,1559606797,85,-17.65,-71.34,64.52,4.29
147,cherskiy,100,RU,1559606797,60,68.75,161.3,40.76,21.16
148,tual,100,ID,1559606798,82,-5.67,132.75,81.08,22.77
149,busselton,0,AU,1559606798,45,-33.64,115.35,54.0,23.47
150,quelimane,0,MZ,1559606798,99,-17.88,36.89,65.06,4.7
151,broome,100,GB,1559606798,71,52.47,1.45,57.99,6.93
152,cockburn town,0,TC,1559606798,80,21.46,-71.14,81.44,11.7
153,mogadishu,86,SO,1559606617,80,2.04,45.34,77.66,10.71
154,tecolutla,84,MX,1559606798,90,17.31,-98.74,66.68,7.78
155,villa carlos paz,0,AR,1559606798,93,-31.42,-64.5,57.99,11.41
156,lyuban,0,BY,1559606799,93,52.8,28.0,55.52,6.35
157,comodoro rivadavia,0,AR,1559606799,62,-45.87,-67.48,51.8,9.17
158,bilibino,93,RU,1559606799,89,68.06,166.44,42.74,2.17
159,guarda,45,PT,1559606640,78,40.54,-7.27,59.0,1.99
160,termoli,0,IT,1559606799,67,42.0,14.99,59.3,6.44
161,manzhouli,69,CN,1559606799,46,49.6,117.43,62.9,20.54
162,arawa,100,NG,1559606799,93,7.05,3.9,76.04,2.66
163,alcacer do sal,20,PT,1559606799,77,38.37,-8.51,66.2,5.82
164,kargasok,1,RU,1559606800,89,59.06,80.87,49.22,3.67
165,alihe,65,CN,1559606800,58,50.57,123.73,66.32,2.84
166,beveren,0,BE,1559606800,77,51.21,4.26,60.8,1.12
167,astros,16,GR,1559606800,65,37.4,22.72,62.01,3.0
168,vila franca do campo,40,PT,1559606800,88,37.72,-25.43,64.4,9.17
169,chokurdakh,0,RU,1559606800,50,70.62,147.9,38.96,11.45
170,noyabrsk,1,RU,1559606590,53,63.2,75.45,53.0,6.96
171,port elizabeth,1,US,1559606800,34,39.31,-74.98,69.8,3.36
172,husavik,97,CA,1559606801,46,50.56,-96.99,75.0,7.0
173,russell,0,AR,1559606801,66,-33.01,-68.8,53.6,3.36
174,shingu,75,JP,1559606801,78,33.72,135.99,73.4,4.7
175,rafai,100,CF,1559606801,90,4.95,23.92,70.1,2.19
176,samarai,100,PG,1559606801,94,-10.62,150.67,76.76,5.75
177,yellowknife,90,CA,1559606801,100,62.45,-114.38,41.0,6.93
178,fortuna,0,ES,1559606802,88,38.18,-1.13,68.0,3.94
179,llanes,69,ES,1559606802,97,43.42,-4.75,62.01,2.26
180,kaitangata,38,NZ,1559606802,60,-46.28,169.85,46.0,8.01
181,linkuva,0,LT,1559606802,87,56.09,23.97,55.4,5.82
182,kahului,40,US,1559606802,58,20.89,-156.47,89.6,23.04
183,rio rancho,75,US,1559606802,29,35.27,-106.63,82.0,3.36
184,huarmey,8,PE,1559606803,90,-10.07,-78.15,63.26,15.35
185,osa,66,RU,1559606803,88,57.28,55.46,47.42,16.62
186,hun,38,BE,1559606803,82,50.34,4.87,59.0,1.12
187,koslan,0,RU,1559606803,81,63.46,48.9,37.7,5.84
188,thompson,75,CA,1559606803,41,55.74,-97.86,59.0,5.82
189,tela,20,HN,1559606803,70,15.78,-87.45,89.6,13.87
190,randazzo,0,IT,1559606804,87,37.88,14.95,66.2,5.82
191,narsaq,0,GL,1559606804,46,60.91,-46.05,50.0,8.05
192,vernon,1,CA,1559606529,23,50.27,-119.27,75.2,8.05
193,mapiripan,100,CO,1559606804,91,2.89,-72.13,74.96,2.66
194,mao,75,DO,1559606804,94,19.55,-71.08,82.4,9.17
195,quatre cocos,40,MU,1559606804,69,-20.21,57.76,73.4,18.34
196,inverell,100,AU,1559606804,100,-29.78,151.11,43.0,4.0
197,buraydah,0,SA,1559606805,24,26.33,43.97,89.6,11.41
198,santa cruz del sur,49,CU,1559606805,77,20.71,-78.0,80.54,0.81
199,francistown,0,BW,1559606805,70,-21.17,27.5,52.82,6.89
200,kudahuvadhoo,98,MV,1559606805,76,2.67,72.89,84.86,25.34
201,hirara,75,JP,1559606805,88,24.8,125.28,82.4,14.99
202,saldanha,51,PT,1559606805,82,41.42,-6.55,57.5,4.14
203,dalaba,100,GN,1559606805,93,10.69,-12.25,74.6,1.41
204,marawi,100,PH,1559606806,83,8.0,124.29,81.0,2.53
205,tottori,75,JP,1559606806,100,35.5,134.23,75.2,8.05
206,neunkirchen,0,AT,1559606806,77,47.72,16.08,64.0,6.93
207,pacifica,20,US,1559606581,60,37.61,-122.49,75.99,10.29
